reflo,locx,locy
-611,-5.9,11.3
A.13.,A.8,13.3
K7.,K.1,7.6
K.0.,K.6,0.4
K6,K.0,5.9
H12,H.1,12.4
O.2.,O.2,2.3
G16,G.1,16.0
G4.,G.0,4.5
G3.,G.1,3.6
I2.,I.2,2.8
N.10.,N.3,10.5
-27,-2.6,5.1
-66,-6.4,6.3
-1.8.,-1.7,8.2
H6,H.3,6.2
F6.,F.0,6.4
H15,G.9,14.9
M10,M.1,10.1
L.12,L.2,12.0
B4.,B.0,4.6
K1.,J.8,1.6
K.20,K.3,20.0
K19,K.1,19.1
J11,J.1,11.1
N.6.,N.7,6.4
I.6.,I.6,6.3
E13,E.0,13.0
-212,-2.0,12.2
A15.,A.1,15.5
-113,-1.0,13.3
C13,C.0,12.9
H11,H.0,11.2
N8.,N.0,8.7
C2.,C.0,2.7
G.18,G.5,17.9
P9,P.0,9.0
K.15,K.7, 14.9
L9,K.8,8.7
B11.,A.9,11.6
-313,-3.0,13.0
-59,-5.4,8.7
-5.6,-5.4,6.0
-75,-7.0,5.0
-55,-5.0,5.0
B.5.,B.4,5.5
-512,-4.7,11.7
-215,-2.0,15.0
-7.6,-7.5,6.2
-11,-1.0,1.0
-0.12,-0.3,12.0
-7.9,-7.5,9.2
-6.10.,-6.5,10.8
-53,-4.9,3.3
-3.0,-3.6,0.1
O.2,O.5,2.0
H.3.,H.7,3.2
C17,C.0,17.2
D7,D.3,7.0
C.9,C.5,9.4
B.10.,B.6,10.5
F8,F.1,8.0
H1,H.0,0.9
I11,H.9,10.9
F17,F.0,17.0
O6,O.5,6.4
-515.,-5.0,15.7
-610,-6.2,9.8
B15.,B.1,15.3
-310,0.7,11.0
-612,-6.4,12.4
0.13.,0.4,13.6
K6,K.0,6.2
J.6.,J.3,6.7
J14,J.1,14.2
L13.,L.2,13.5
E15,E.0,15.0
F18.,F.0,18.6
C.0.,C.5,0.5
J10,J.2,10.1
I.16,I.6,16.0
M.12.,M.6,12.5
L11,K.6,10.5
L10,K.9,9.8
P.3,P.0,2.7
N1.,N.1,1.3
J.9,J.7,9.0
H9,H.0,9.0
G20.,G.0,20.5
D4,D.0,4.0
D.5.,D.5,5.2
F.21,F.5,21.0
0.6.,0.5,6.6
-211,-2.4,11.0
-7.12.,-7.7,12.7
I11.,I.0,11.5
D15,C.8,15.0
I.3.,I.5,3.8
E11,D.8,10.9
H18.,H.0,18.4
E1,E.0,1.1
A14.,A.6,14.4
-114,-1.2,14.5
-110,-1.3,10.2
-14,-1.0,4.0
-2.4.,-2.5,4.3
A3.,A.0,3.3
B2,A.9,2.0
F1,F.0,1.0
G.6.,G.4,6.7
D.8.,D.7,8.4
I19.,I.1,19.4
F1.,F.0,1.5
C.19,C.5,19.0
I.20.,I.5,20.5
J.20.,J.3,20.6
J1,J.0,1.0
M14,L.8,13.9
L.15,L.6,15.0
F.20.,F.3,20.7
-713,-7.4,13.4
-310,-3.1,10.1
F20,F.0,19.9
N.2.,N.5,2.5
K17.,K.1,17.5
K.15.,K.5,15.5
L.17,L.3,16.8
H.4,H.4,4.0
C.17,C.6,16.9
-3.0,-3.8,0.0
G5,G.0,5.0
A8,0.9,8.1
-310,-3.0,13.0
0.12,0.7,12.2
-413,-4.1,13.3
-611.,-6.1,11.8
-73,-7.0,3.1
J.19,J.7,19.0
-513,-5.3,12.8
I.2,I.5,1.8
C.0.,C.8,0.6
C.19.,C.5,19.0
D4,D.0,4
G.6.,G.5,6.5
M.0.,M.5,0.5
M7,M.0,7.0
G.2,G.3,2.0
E14.,D.9,14.6
-515,-5.0,15.7
L6,K.9,5.9
-27,-2.0,6.8
-7.9,-7.8,9.2
0.13.,-0.4,13.6
-711,-7.2,11.1
-312,-3.0,12.2
B.10.,B.7,10.7
K.0.,K.5,0.5
K3,K.0,3.1
I1,I.0,1.2
6.5,-7.5,6.2
E7,E.2,7.0
A.14.,A.6,14.4
A10.,A.0,10.5
A10,A.0,10.0
05,0.0,5.0
0.5.,0.5,6.6
-2.11,-2.4,11.0
-36.,-2.9,6.5
-38,-3.0,8.0
K.15,K.7,14.9
J2,J.8,1.6
N.2.,N.2,2.4
-4.10,-4.6,10.0
A5.,A.0,5.3
E9.,E.0,9.5
E3.,E.0,3.5
O1,O.0,1.0
P1,P.0,1.0
O.8,O.5,8.0
C8.,C.0,8.5
-6.8,-6.5,8.0
-8.12,-8.5,12.0
C17,C.0,12.2
O.10,O.7,9.9
-1.1.,-1.5,1.5
-313,-3,13
