reflo,locx,locy,geometry
-611,-5.9,11.3,660582.774655669|6761881.05962308
A.13.,1.8,13.3,660809.938106291|6761789.53214962
K7.,11.1,7.6,660939.677477335|6761483.64329734
K.0.,11.6,0.4,660823.776829508|6761301.25788872
K6,11,5.9,660906.88884047|6761444.53467882
H12,8.1,12.4,660950.603748051|6761653.60077464
O.2.,15.2,2.3,660947.201586323|6761281.69893407
G16,7.1,16,660989.889987201|6761758.3977699
G4.,7,4.5,660782.432403341|6761483.38589525
G3.,7.1,3.6,660768.877358854|6761459.90796858
I2.,9.2,2.8,660806.855488909|6761402.56062485
N.10.,14.3,10.5,661070.969379396|6761495.41568219
-27,-2.6,5.1,660554.339234468|6761671.96334369
-66,-6.4,6.3,660481.215902026|6761769.77962604
-1.8.,-1.7,8.2,660631.981805457|6761730.25565559
H6,8.3,6.2,660845.072048312|6761500.72781094
F6.,6,6.4,660791.424563949|6761547.25957006
H15,7.9,14.9,660990.18523586|6761717.40874385
M10,13.1,10.1,661033.988481119|6761507.55031659
L.12,12.2,12,661045.463650881|6761569.61104795
B4.,2,4.6,660659.843036266|6761576.48651323
K1.,10.8,1.6,660825.266513119|6761344.65403476
K.20,11.3,20,661165.649778154|6761778.51684291
K19,11.1,19.1,661144.635923297|6761760.47811177
J11,10.1,11.1,660977.184122816|6761586.03290136
N.6.,14.7,6.4,661007.843632738|6761389.46357421
I.6.,9.6,6.3,660879.192517841|6761479.55592878
E13,5,13,660884.18675231|6761724.26967059
-212,-2,12.2,660695.816108607|6761831.98006046
A15.,1.1,15.5,660831.737049313|6761855.18599122
-113,-1,13.3,660740.294170437|6761840.31940724
C13,3,12.9,660832.656917291|6761758.13797256
H11,8,11.2,660926.72861452|6761626.52801596
N8.,14,8.7,661031.424573112|6761457.52588074
C2.,3,2.7,660650.848664449|6761512.61320241
G.18,7.5,17.9,661033.701121664|6761796.88075993
P9,16,9,661086.525181853|6761428.47494617
K.15,11.7,14.9,661084.710730743|6761648.49005862
L9,11.8,8.7,660976.696776086|6761497.42671988
B11.,1.9,11.6,660782.125942159|6761746.79704587
-313,-3,13,660685.202722413|6761869.37560111
-59,-5.4,8.7,660548.867280598|6761809.40729325
-5.6,-5.4,6,660500.739965197|6761744.41840761
-75,-7,5,660443.119955418|6761749.37339002
-55,-5,5,660492.863320281|6761713.09249933
B.5.,2.4,5.5,660685.835112408|6761590.89452769
-512,-4.7,11.7,660619.749993643|6761868.9203563
-215,-2,15,660745.720951138|6761899.37877283
-7.6,-7.5,6.2,660452.074865428|6761787.32715587
-11,-1,1,660521.049978353|6761544.25235282
-0.12,-0.3,12,660734.534676273|6761796.33004514
-7.9,-7.5,9.2,660505.549754491|6761859.53633467
-6.10.,-6.5,10.8,660558.939862748|6761879.90835312
-53,-4.9,3.3,660465.046805127|6761670.35994585
-3.0,-3.6,0.1,660440.33667454|6761569.75457788
O.2,15.5,2,660949.317248067|6761269.03616486
H.3.,8.7,3.2,660801.547776957|6761421.25823622
C17,3,17.2,660909.293694029|6761861.64642346
D7,4.3,7,660759.832750858|6761592.53745357
C.9,3.5,9.4,660782.711586044|6761664.81902778
B.10.,2.6,10.5,660779.931428959|6761707.62186355
F8,6.1,8,660822.430931422|6761583.95997289
H1,8,0.9,660743.136311577|6761378.59134722
I11,8.9,10.9,660943.769159092|6761602.98291239
F17,6,17,660980.350289462|6761802.42062078
O6,15.5,6.4,661027.745201821|6761374.95424807
-515.,-5,15.7,660683.581731949|6761970.64458142
-610,-6.2,9.8,660548.57700976|6761850.39628784
B15.,2.1,15.3,660853.045568931|6761832.23383649
-310,0.7,11,660741.583999218|6761754.120429
-612,-6.4,12.4,660589.945249847|6761916.60673978
0.13.,0.4,13.6,660780.462807163|6761822.14698763
K6,11,6.2,660912.236137738|6761451.75624837
J.6.,10.3,6.7,660903.735179428|6761476.48838349
J14,10.1,14.2,661032.434516244|6761660.65734593
L13.,12.2,13.5,661072.197494525|6761605.72006026
E15,5,15,660919.832067197|6761772.41344304
F18.,6,18.6,661008.864913408|6761840.9364075
C.0.,3.5,0.5,660624.068816842|6761450.58843899
J10,10.2,10.1,660961.848446459|6761560.14698728
I.16,9.6,16,661052.076735205|6761713.05625489
M.12.,13.6,12.5,661089.201471572|6761556.25658792
L11,11.6,10.5,661003.803689775|6761544.38425963
L10,11.9,9.8,660998.790187091|6761522.09256885
P.3,16,2.7,660974.233418604|6761276.81814226
N1.,14.1,1.3,660902.011575763|6761277.57801788
J.9,10.7,9,660954.680428625|6761524.5990868
H9,8,9,660887.51697638|6761573.56983737
G20.,7,20.5,661067.599161507|6761868.53785775
D4,4,4,660698.895918849|6761525.76608984
D.5.,4.5,5.2,660732.723164209|6761545.58181637
F.21,6.5,21,661064.07257642|6761889.64236725
0.6.,0.5,6.6,660658.1827907|6761651.83646765
-211,-2.4,11,660664.478790337|6761810.35073829
-7.12.,-7.7,12.7,660562.960082999|6761947.4093889
I11.,9,11.5,660956.950555441|6761615.61247461
D15,3.8,15,660889.983563474|6761794.17833249
I.3.,9.5,3.8,660832.143305692|6761421.19064956
E11,4.8,10.9,660841.783260845|6761677.34667899
H18.,8,18.4,661055.049059531|6761799.84885045
E1,5,1.1,660672.076226713|6761437.821946
A14.,1.6,14.4,660824.568651754|6761819.63835555
-114,-1.2,14.5,660756.707323668|6761872.83243661
-110,-1.3,10.2,660677.57932276|6761771.14123832
-14,-1,4,660574.527697031|6761616.46252698
-2.4.,-2.5,4.3,660542.566141086|6761650.89329957
A3.,1,3.3,660611.796372805|6761563.33414679
B2,1.9,2,660611.009263588|6761515.71713344
F1,6,1,660695.168465157|6761417.27589826
G.6.,7.4,6.7,660831.596644225|6761529.087684
D.8.,4.7,8.4,660794.73641837|6761618.98185936
I19.,9.1,19.4,661100.232318861|6761803.97181262
F1.,6,1.5,660704.081376483|6761429.31130904
C.19,3.5,19,660953.809434066|6761895.90750406
I.20.,9.5,20.5,661129.785203911|6761823.19771449
J.20.,10.3,20.6,661151.46714266|6761811.09641101
J1,10,1,660794.670330737|6761344.72168987
M14,12.8,13.9,661094.251947257|6761604.46746988
L.15,12.6,15,661108.881083437|6761634.57486722
F.20.,6.3,20.7,661053.751537107|6761886.04782273
